# generated by ews.pipeline on 2026-05-12T02:21:30, loader=derived
ticker,date,ret_1m,ret_3m,ret_6m,vol_3m,vol_6m,drawdown_12m
PFE,2010-08-31,-0.015469803947050775,0.056285281903176054,-0.06192983528559337,0.2624594032219758,0.2369690651345201,0.2788017714341382
SPG,2010-08-31,-0.022546578632250847,0.057234101355716493,0.18111704195128864,0.3288281426493769,0.3468525926774599,0.1636561486077223
XOM,2010-08-31,-0.050813716274468845,-0.0329273680893879,-0.08352780904120094,0.2202785538701664,0.2055635052254222,0.2503498494542752
AAL,2010-09-30,-0.0324269666297935,0.1294260373546039,0.29733505243313507,0.5786288037542751,0.6986230974675071,0.35619436495648565
BBBY,2010-09-30,0.07230562282739839,-0.12472154407738478,-0.1584582435647406,0.6441628802020444,0.6997060541829043,0.4343645614625154
F,2010-09-30,0.054263954461768904,0.1906614285851027,-0.04150340889276882,0.33879867143420633,0.3981453668523092,0.31673598036460043
GE,2010-09-30,0.09062151499595839,0.17941136078525965,-0.11094668930278195,0.259543448196003,0.3108237575581179,0.2836858788632392
INTC,2010-09-30,0.058434375399638805,0.007627967223099885,-0.13754296946354339,0.2517630351142207,0.2912507416615859,0.25968727845451683
PFE,2010-09-30,0.0546680711864862,0.22781118595785865,0.038118625579618204,0.23738249766875036,0.2400902854873585,0.2788017714341382
SPG,2010-09-30,-0.008764517352839007,0.1806401911004849,0.09109966190442309,0.2849861927519271,0.35223286748520216,0.1636561486077223
XOM,2010-09-30,0.014447253817489125,0.10009089111567171,-0.08117431380058726,0.17449184688390534,0.20874700866196289,0.2503498494542752
AAL,2010-10-31,0.2691068261788703,0.10600357038606578,0.7186588378506813,0.47699495953874643,0.641525765743975,0.2476723620943595
BBBY,2010-10-31,-0.14640357639401724,-0.32204249838748045,-0.43844219770979176,0.6353140836856407,0.7022749909907154,0.4393812790702218
F,2010-10-31,0.1525285155785998,0.09450036857297484,0.09961085407903103,0.2835666434776092,0.38478820370566913,0.31673598036460043
GE,2010-10-31,-0.020782545546290554,-0.015943554742640975,-0.12588868099927109,0.22950811295971332,0.30820557646009833,0.2836858788632392
INTC,2010-10-31,0.03778483031670832,-0.03196218205441326,-0.09816313949395827,0.22570930513774803,0.2864798768134588,0.25968727845451683
PFE,2010-10-31,0.013969576790319183,0.07797032631308687,0.03126652290088838,0.21689564498172506,0.24029893731230587,0.2788017714341382
SPG,2010-10-31,0.02596400767089113,0.037645878133972355,0.08015768158380543,0.20014322725758432,0.31158746398810305,0.1636561486077223
XOM,2010-10-31,0.0631595628736965,0.0676939766389717,0.014300406715062941,0.15073745616031115,0.21112545904270438,0.2503498494542752
AAL,2010-11-30,-0.04288155900447066,0.16736392066118633,0.21172646200190526,0.4370196117155474,0.5491304847910402,0.2476723620943595
BBBY,2010-11-30,0.21513006983316085,0.051841762400563374,-0.3347713600827319,0.5458248677505265,0.6184222153724238,0.46948162458578757
F,2010-11-30,0.12016867553667332,0.3729543259212873,0.3327749211608464,0.31293344376680937,0.34983093994500003,0.31673598036460043
GE,2010-11-30,-0.007523904582930174,0.06243243701401924,-0.024415895427445267,0.2213447485661367,0.25371158383467945,0.2836858788632392
INTC,2010-11-30,0.036736057105650755,0.17561509753946702,-0.018797343431056768,0.19346934588499634,0.24142879625686203,0.25968727845451683
PFE,2010-11-30,-0.06535032573300448,0.0115799270514374,0.09336596815641984,0.1709231567633525,0.22061088066562906,0.2788017714341382
SPG,2010-11-30,0.006721139515561969,0.061167397498619325,0.16047762737506788,0.24041986911886687,0.286919385535139,0.1636561486077223
XOM,2010-11-30,0.04552626373960056,0.1492034181411177,0.14520606376872558,0.14988819994919328,0.18912457697896737,0.24611129881186192
AAL,2010-12-31,-0.09900986402805223,0.09758748565933906,0.23886111970627666,0.40772830164237156,0.492378445639447,0.2476723620943595
BBBY,2010-12-31,0.0516910952136993,0.07782861892427917,-0.0351288281118175,0.49293999205629774,0.570686010086923,0.46948162458578757
F,2010-12-31,0.0005957866690555758,0.3076324710569891,0.652559384394072,0.2913788241809987,0.31225043214908477,0.31673598036460043
GE,2010-12-31,0.10516709111318101,0.14497996310876227,0.3293172559471742,0.21521946731276645,0.23598451904869705,0.2836858788632392
INTC,2010-12-31,-0.030875340122897055,0.12319272456215735,0.09632083950382575,0.1680161212819002,0.2135059285020783,0.25968727845451683
PFE,2010-12-31,0.049131574672394596,0.046806576491151386,0.25179079869278453,0.1564290260637515,0.20108858448575992,0.2788017714341382
SPG,2010-12-31,-0.023938321053262657,0.06319655707401806,0.30637286054368995,0.22571960067852687,0.25370187003960065,0.16151021312708974
XOM,2010-12-31,0.022943292929383574,0.1831546359440348,0.2897125008645254,0.13921267796882136,0.15802100180661813,0.18455612600201515
AAL,2011-01-31,-0.00899068279670534,-0.14922798497006418,-0.0694184058981594,0.4476115479785763,0.4620256713719268,0.2476723620943595
BBBY,2011-01-31,-0.09466016439771652,0.17572896529940518,-0.24570275235798145,0.3746436076265691,0.5229798860459247,0.46948162458578757
F,2011-01-31,-0.05002967671083136,0.12087188540853355,0.2354765007961248,0.3998554012181517,0.3453188398474144,0.31673598036460043
GE,2011-01-31,0.101148246128695,0.2726497923869555,0.24688700141001751,0.22738757177048638,0.22978419938767788,0.2836858788632392
